scenario,seed_offset,candidate,label,exhausted_hours,external_completed,quota_left_week_end_pct,recovery_to_ideal_hours,recovery_to_1_5x_ideal_hours,recovery_to_2x_ideal_hours,recovery_to_2_5x_ideal_hours,max_interval_delta_vs_current_seconds
responsive-heavy,5,kd-900,Kd 900,0,501,1.1,0,0,0,0,1.164111
responsive-heavy,5,kd-3600,Kd 3600,0,487,1.85,0,0,0,0,185.856414
responsive-heavy,5,weaker-i-stronger-d,Ti 2h + Kd 3600,0,539,0.05,18.75,0,0,0,3194.84638
responsive-heavy,6,current,current (120 / 1h / 1800),7.05,439,0,25.083333,24.666667,24.25,23.833333,0
responsive-heavy,6,kp-80,Kp 80,6.966667,446,0,35.833333,34.75,33.666667,32.25,2381.908708
responsive-heavy,6,kp-160,Kp 160,0,428,0.3,21.75,21.5,21.25,21,5055.832126
responsive-heavy,6,ti-2h,Ti 2h,7.166667,452,0,38.166667,37.083333,35.916667,34.666667,2791.439674
responsive-heavy,6,ti-half-hour,Ti 0.5h,7.516667,438,0,21.25,21.166667,21,20.833333,7349.395461
responsive-heavy,6,kd-900,Kd 900,7.016667,437,0,25.083333,24.666667,24.25,23.833333,293.874877
responsive-heavy,6,kd-3600,Kd 3600,7.05,439,0,25.083333,24.666667,24.25,23.833333,1.289348
responsive-heavy,6,weaker-i-stronger-d,Ti 2h + Kd 3600,7.05,452,0,38.166667,37.083333,35.916667,34.666667,2859.195218
responsive-heavy,7,current,current (120 / 1h / 1800),6.266667,446,0,0,0,0,0,0
responsive-heavy,7,kp-80,Kp 80,0.5,470,0,17.666667,16.75,15.75,0.083333,4550.831286
responsive-heavy,7,kp-160,Kp 160,5.7,450,0,0,0,0,0,8201.042823
responsive-heavy,7,ti-2h,Ti 2h,0,452,0.7,18.5,17.333333,16.166667,0,2755.75038
responsive-heavy,7,ti-half-hour,Ti 0.5h,5.083333,454,0,0,0,0,0,12470.379348
responsive-heavy,7,kd-900,Kd 900,6.283333,447,0,0,0,0,0,860.493258
responsive-heavy,7,kd-3600,Kd 3600,0,432,1.05,0,0,0,0,3402.156232
responsive-heavy,7,weaker-i-stronger-d,Ti 2h + Kd 3600,0,452,0.7,18.5,17.333333,16.166667,0,2755.677945
