scenario,source,candidate,time_hours,error,interval_seconds,integral,derivative,integral_step_seconds,cycle_changed,observed_interval_seconds,observed_integral
historical,sanitized-historical,kp-160,4.167778,-2.734,34926.962089,792870.713,-0.000167,300,false,35176,1062300.2
historical,sanitized-historical,kp-160,4.258056,-2.784,34884.182094,792035.513,-0.000165,300,false,35144,1061465.1
historical,sanitized-historical,kp-160,4.347778,-2.833,34840.694647,791185.613,-0.000163,300,false,35111,1060615.1
historical,sanitized-historical,kp-160,4.436111,-2.893,34796.033967,790317.713,-0.000167,300,false,35078,1059747.3
historical,sanitized-historical,kp-160,4.497222,-2.923,34754.194825,789674.653,-0.000163,220,false,35047,1059103.7
historical,sanitized-historical,kp-160,4.625,-3.002,34709.648024,788774.053,-0.000165,300,false,35013,1058203.1
historical,sanitized-historical,kp-160,4.663333,-3.022,34670.804832,788357.017,-0.000164,138,false,34984,1057784.7
historical,sanitized-historical,kp-160,4.741389,-3.062,34630.513482,787496.595,-0.000161,281,false,34954,1056923.7
historical,sanitized-historical,kp-160,4.830278,-3.121,34587.530027,786560.295,-0.000164,300,false,34922,1055987.4
historical,sanitized-historical,kp-160,4.936389,-3.19,34541.897813,785603.295,-0.000167,300,false,34887,1055030.3
historical,sanitized-historical,kp-160,4.990278,-3.22,34499.533311,784978.615,-0.000166,194,false,34856,1054407.4
historical,sanitized-historical,kp-160,5.093611,-3.28,34454.426957,783994.615,-0.000165,300,false,34822,1053423.5
historical,sanitized-historical,kp-160,5.165,-3.319,34409.560354,783141.632,-0.000163,257,false,34788,1052569.7
historical,sanitized-historical,kp-160,5.324167,-3.419,34360.512532,782115.932,-0.000166,300,false,34751,1051544.1
historical,sanitized-historical,kp-160,5.484444,-3.518,34308.039404,781060.532,-0.000167,300,false,34712,1050488.7
historical,sanitized-historical,kp-160,5.497778,-3.518,34266.810248,780891.668,-0.000163,48,false,34681,1050320.4
historical,sanitized-historical,kp-160,5.570278,-3.567,34223.582676,779960.681,-0.000166,261,false,34649,1049389.8
historical,sanitized-historical,kp-160,5.6575,-3.617,34177.105798,778875.581,-0.000165,300,false,34614,1048304.6
historical,sanitized-historical,kp-160,5.825833,-3.716,34125.901678,777760.781,-0.000165,300,false,34575,1047189.8
historical,sanitized-historical,kp-160,5.978333,-3.806,34071.212005,776618.981,-0.000165,300,false,34534,1046048.1
historical,sanitized-historical,kp-160,6.048333,-3.845,34017.86929,775650.041,-0.000163,252,false,34494,1045077.7
historical,sanitized-historical,kp-160,6.073889,-3.865,33973.110182,775294.461,-0.000166,92,false,34461,1044723.1
historical,sanitized-historical,ti-2h,0.166389,-0.353,35915.974318,2155356.1,-0.000191,300,false,35915,1077625
historical,sanitized-historical,ti-2h,0.333333,-0.452,35903.423054,2155220.5,-0.000185,300,false,35902,1077489.3
historical,sanitized-historical,ti-2h,0.5,-0.552,35890.321631,2155054.9,-0.00018,300,false,35887,1077323.8
historical,sanitized-historical,ti-2h,0.666389,-0.651,35876.713487,2154859.6,-0.000176,300,false,35872,1077128.6
historical,sanitized-historical,ti-2h,0.833056,-0.75,35862.601167,2154634.6,-0.000174,300,false,35856,1076903.6
historical,sanitized-historical,ti-2h,0.999722,-0.849,35847.986644,2154379.9,-0.000171,300,false,35838,1076648.8
historical,sanitized-historical,ti-2h,1.166389,-0.948,35832.871476,2154095.5,-0.00017,300,false,35820,1076364.3
historical,sanitized-historical,ti-2h,1.333056,-1.048,35817.225456,2153781.1,-0.000169,300,false,35800,1076050
historical,sanitized-historical,ti-2h,1.5,-1.147,35801.087676,2153437,-0.000168,300,false,35780,1075706
historical,sanitized-historical,ti-2h,1.666389,-1.246,35784.457144,2153063.2,-0.000167,300,false,35759,1075332.2
historical,sanitized-historical,ti-2h,1.833056,-1.345,35767.333252,2152659.7,-0.000167,300,false,35736,1074928.6
historical,sanitized-historical,ti-2h,2,-1.444,35749.715557,2152226.5,-0.000166,300,false,35713,1074495.3
historical,sanitized-historical,ti-2h,2.166667,-1.544,35731.572236,2151763.3,-0.000166,300,false,35689,1074032.2
historical,sanitized-historical,ti-2h,2.286111,-1.613,35713.879004,2151279.4,-0.000165,300,false,35664,1073548.2
historical,sanitized-historical,ti-2h,2.333333,-1.643,35698.54485,2151000.09,-0.000166,170,false,35643,1073268.8
historical,sanitized-historical,ti-2h,2.434722,-1.702,35683.147079,2150489.49,-0.000165,300,false,35621,1072758.1
historical,sanitized-historical,ti-2h,2.499722,-1.742,35668.700014,2150081.862,-0.000166,234,false,35599,1072351.1
historical,sanitized-historical,ti-2h,2.601667,-1.802,35653.81241,2149541.262,-0.000166,300,false,35577,1071810.7
historical,sanitized-historical,ti-2h,2.666667,-1.841,35639.681677,2149110.468,-0.000166,234,false,35556,1071379.7
historical,sanitized-historical,ti-2h,2.768056,-1.901,35624.90748,2148540.168,-0.000166,300,false,35533,1070809.5
historical,sanitized-historical,ti-2h,2.833056,-1.94,35610.765273,2148086.208,-0.000166,234,false,35511,1070353.9
historical,sanitized-historical,ti-2h,2.906944,-1.98,35596.765001,2147559.528,-0.000164,266,false,35489,1069827.6
historical,sanitized-historical,ti-2h,3.018889,-2.05,35581.601472,2146944.528,-0.000166,300,false,35465,1069212.7
historical,sanitized-historical,ti-2h,3.185833,-2.149,35564.572664,2146299.828,-0.000165,300,false,35439,1068568.1
historical,sanitized-historical,ti-2h,3.352222,-2.248,35546.021062,2145625.428,-0.000165,300,false,35411,1067893.7
historical,sanitized-historical,ti-2h,3.52,-2.347,35526.203768,2144921.328,-0.000165,300,false,35381,1067189.5
historical,sanitized-historical,ti-2h,3.635556,-2.417,35506.219267,2144196.228,-0.000166,300,false,35350,1066464.5
historical,sanitized-historical,ti-2h,3.696389,-2.446,35488.130535,2143660.554,-0.000162,219,false,35322,1065927.9
historical,sanitized-historical,ti-2h,3.768889,-2.496,35470.347899,2143009.098,-0.000166,261,false,35294,1065275.4
historical,sanitized-historical,ti-2h,3.864167,-2.546,35452.32986,2142245.298,-0.000163,300,false,35265,1064511.7
historical,sanitized-historical,ti-2h,3.928333,-2.585,35435.157946,2141648.163,-0.000163,231,false,35237,1063913.9
historical,sanitized-historical,ti-2h,4.023056,-2.645,35417.171849,2140854.663,-0.000165,300,false,35208,1063120.5
historical,sanitized-historical,ti-2h,4.167778,-2.734,35397.594216,2140034.463,-0.000167,300,false,35176,1062300.2
historical,sanitized-historical,ti-2h,4.258056,-2.784,35377.931863,2139199.263,-0.000165,300,false,35144,1061465.1
historical,sanitized-historical,ti-2h,4.347778,-2.833,35358.17473,2138349.363,-0.000163,300,false,35111,1060615.1
historical,sanitized-historical,ti-2h,4.436111,-2.893,35337.93887,2137481.463,-0.000167,300,false,35078,1059747.3
historical,sanitized-historical,ti-2h,4.497222,-2.923,35319.184037,2136838.403,-0.000163,220,false,35047,1059103.7
historical,sanitized-historical,ti-2h,4.625,-3.002,35298.994634,2135937.803,-0.000165,300,false,35013,1058203.1
historical,sanitized-historical,ti-2h,4.663333,-3.022,35281.515575,2135520.767,-0.000164,138,false,34984,1057784.7
historical,sanitized-historical,ti-2h,4.741389,-3.062,35263.622476,2134660.345,-0.000161,281,false,34954,1056923.7
historical,sanitized-historical,ti-2h,4.830278,-3.121,35244.529794,2133724.045,-0.000164,300,false,34922,1055987.4
historical,sanitized-historical,ti-2h,4.936389,-3.19,35224.151492,2132767.045,-0.000167,300,false,34887,1055030.3
historical,sanitized-historical,ti-2h,4.990278,-3.22,35205.36548,2132142.365,-0.000166,194,false,34856,1054407.4
historical,sanitized-historical,ti-2h,5.093611,-3.28,35185.376326,2131158.365,-0.000165,300,false,34822,1053423.5
historical,sanitized-historical,ti-2h,5.165,-3.319,35165.661117,2130305.382,-0.000163,257,false,34788,1052569.7
historical,sanitized-historical,ti-2h,5.324167,-3.419,35143.599758,2129279.682,-0.000166,300,false,34751,1051544.1
historical,sanitized-historical,ti-2h,5.484444,-3.518,35119.685642,2128224.282,-0.000167,300,false,34712,1050488.7
historical,sanitized-historical,ti-2h,5.497778,-3.518,35101.048413,2128055.418,-0.000163,48,false,34681,1050320.4
historical,sanitized-historical,ti-2h,5.570278,-3.567,35081.719974,2127124.431,-0.000166,261,false,34649,1049389.8
historical,sanitized-historical,ti-2h,5.6575,-3.617,35061.202861,2126039.331,-0.000165,300,false,34614,1048304.6
historical,sanitized-historical,ti-2h,5.825833,-3.716,35038.200233,2124924.531,-0.000165,300,false,34575,1047189.8
historical,sanitized-historical,ti-2h,5.978333,-3.806,35013.490844,2123782.731,-0.000165,300,false,34534,1046048.1
historical,sanitized-historical,ti-2h,6.048333,-3.845,34989.752093,2122813.791,-0.000163,252,false,34494,1045077.7
historical,sanitized-historical,ti-2h,6.073889,-3.865,34969.865264,2122458.211,-0.000166,92,false,34461,1044723.1
historical,sanitized-historical,ti-half-hour,0.166389,-0.353,35914.650568,538759.6,-0.000191,300,false,35915,1077625
historical,sanitized-historical,ti-half-hour,0.333333,-0.452,35899.411491,538624,-0.000185,300,false,35902,1077489.3
historical,sanitized-historical,ti-half-hour,0.5,-0.552,35882.224209,538458.4,-0.00018,300,false,35887,1077323.8
historical,sanitized-historical,ti-half-hour,0.666389,-0.651,35863.110421,538263.1,-0.000176,300,false,35872,1077128.6
historical,sanitized-historical,ti-half-hour,0.833056,-0.75,35842.056367,538038.1,-0.000174,300,false,35856,1076903.6
historical,sanitized-historical,ti-half-hour,0.999722,-0.849,35819.051794,537783.4,-0.000171,300,false,35838,1076648.8
historical,sanitized-historical,ti-half-hour,1.166389,-0.948,35794.089088,537499,-0.00017,300,false,35820,1076364.3
historical,sanitized-historical,ti-half-hour,1.333056,-1.048,35767.127415,537184.6,-0.000169,300,false,35800,1076050
historical,sanitized-historical,ti-half-hour,1.5,-1.147,35738.201646,536840.5,-0.000168,300,false,35780,1075706
